Date,Product,Category,Quantity,Unit_Price,Store,Total_Sales
2025-01-30 09:50:53,Yaourt,Snacks,5,1.76,Magasin Sfax,8.8
2025-02-18 16:17:45,Pain,Boissons,1,3.28,Magasin Sousse,3.28
2025-12-19 18:14:00,Jus,Snacks,5,10.78,Magasin Tunis,53.9
2025-03-05 15:35:03,Chocolat,Alimentation,18,9.11,Magasin Sfax,163.98
2025-01-18 15:36:57,Céréales,Boissons,3,19.77,Magasin Tunis,59.31
2025-02-22 10:13:45,Yaourt,Alimentation,1,19.22,Magasin Tunis,19.22
2025-04-08 00:56:30,Fromage,Snacks,9,12.95,Magasin Sfax,116.55
2025-10-17 14:28:22,Lait,Alimentation,13,16.1,Magasin Tunis,209.3
2025-04-02 18:41:40,Jus,Alimentation,9,9.79,Magasin Sfax,88.10999999999999
2025-08-05 03:07:50,Chocolat,Boissons,16,4.61,Magasin Tunis,73.76
2025-06-13 11:40:07,Chocolat,Boissons,19,18.11,Magasin Tunis,344.09
2025-11-28 15:44:49,Lait,Boissons,4,19.25,Magasin Sfax,77.0
2025-05-18 06:02:31,Pain,Alimentation,6,7.64,Magasin Sousse,45.839999999999996
2025-02-18 20:36:16,Café,Boissons,5,9.04,Magasin Tunis,45.199999999999996
2025-11-22 15:21:35,Céréales,Alimentation,17,14.65,Magasin Sfax,249.05
2025-01-04 17:02:14,Thé,Boissons,9,16.43,Magasin Sfax,147.87
2025-07-20 09:08:52,Pain,Alimentation,3,7.74,Magasin Tunis,23.22
2025-12-16 16:08:05,Chocolat,Alimentation,8,13.95,Magasin Sfax,111.6
2025-12-07 01:28:02,Céréales,Alimentation,9,15.2,Magasin Sousse,136.79999999999998
2025-05-29 16:36:40,Fromage,Boissons,4,8.2,Magasin Tunis,32.8
2025-02-17 02:40:41,Chocolat,Boissons,11,3.31,Magasin Sfax,36.410000000000004
2025-05-15 19:15:40,Biscuits,Boissons,18,1.01,Magasin Sfax,18.18
2025-12-21 01:56:20,Chocolat,Boissons,14,13.49,Magasin Tunis,188.86
2025-09-01 01:21:07,Yaourt,Snacks,8,11.32,Magasin Sfax,90.56
2025-12-22 01:20:22,Céréales,Alimentation,6,18.66,Magasin Sfax,111.96000000000001
2025-08-10 03:13:31,Lait,Boissons,16,8.9,Magasin Sfax,142.4
2025-12-25 15:20:46,Biscuits,Boissons,9,6.01,Magasin Sfax,54.089999999999996
2025-04-22 03:34:41,Céréales,Alimentation,5,12.73,Magasin Sfax,63.650000000000006
2025-09-17 10:13:36,Chocolat,Alimentation,2,6.21,Magasin Sfax,12.42
